Postcode,Plaatsnaam,Deelgemeente,Hoofdgemeente,Provincie
2970,'S Gravenwezel,Ja,SCHILDE,ANTWERPEN
3700,'S Herenelderen,Ja,TONGEREN,LIMBURG
7510,3 Suisses,,3 Suisses,
9420,Aaigem,Ja,ERPE-MERE,OOST-VLAANDEREN
8511,Aalbeke,Ja,KORTRIJK,WEST-VLAANDEREN
3800,Aalst,Ja,SINT-TRUIDEN,LIMBURG
9300,Aalst,Neen,AALST,OOST-VLAANDEREN
9880,Aalter,Neen,AALTER,OOST-VLAANDEREN
3200,Aarschot,Neen,AARSCHOT,VLAAMS-BRABANT
8700,Aarsele,Ja,TIELT,WEST-VLAANDEREN
8211,Aartrijke,Ja,ZEDELGEM,WEST-VLAANDEREN
2630,Aartselaar,Neen,AARTSELAAR,ANTWERPEN
4557,Abée,Ja,TINLOT,LUIK
4280,Abolens,Ja,HANNUT,LUIK
3930,Achel,Ja,HAMONT-ACHEL,LIMBURG
5590,Achêne,Ja,CINEY,NAMEN
5362,Achet,Ja,HAMOIS,NAMEN
4219,Acosse,Ja,WASSEIGES,LUIK
6280,Acoz,Ja,GERPINNES,HENEGOUWEN
1105,ACTISOC,,ACTISOC,
9991,Adegem,Ja,MALDEGEM,OOST-VLAANDEREN
8660,Adinkerke,Ja,DE PANNE,WEST-VLAANDEREN
1790,Affligem,Neen,AFFLIGEM,VLAAMS-BRABANT
9051,Afsnee,Ja,GENT,OOST-VLAANDEREN
5544,Agimont,Ja,HASTIÈRE,NAMEN
4317,Aineffe,Ja,FAIMES,LUIK
5310,Aische-En-Refail,Ja,EGHEZÉE,NAMEN
6250,Aiseau,Ja,AISEAU-PRESLES,HENEGOUWEN
5070,Aisemont,Ja,FOSSES-LA-VILLE,NAMEN
3570,Alken,Neen,ALKEN,LIMBURG
5550,Alle,Ja,VRESSE-SUR-SEMOIS,NAMEN
4432,Alleur,Ja,ANS,LUIK
1652,Alsemberg,Ja,BEERSEL,VLAAMS-BRABANT
8690,Alveringem,Neen,ALVERINGEM,WEST-VLAANDEREN
4540,Amay,Neen,AMAY,LUIK
6680,Amberloup,Ja,SAINTE-ODE,LUXEMBURG
6953,Ambly,Ja,NASSOGNE,LUXEMBURG
4219,Ambresin,Ja,WASSEIGES,LUIK
4770,Amel,Neen,AMEL,LUIK
6997,Amonines,Ja,EREZÉE,LUXEMBURG
7750,Amougies,Ja,MONT-DE-L'ENCLUS,HENEGOUWEN
4540,Ampsin,Ja,AMAY,LUIK
5300,Andenne,Neen,ANDENNE,NAMEN
1070,Anderlecht,Neen,ANDERLECHT,BRUSSEL
6150,Anderlues,Neen,ANDERLUES,HENEGOUWEN
4821,Andrimont,Ja,DISON,LUIK
4031,Angleur,Ja,LIÈGE,LUIK
7387,Angre,Ja,HONNELLES,HENEGOUWEN
7387,Angreau,Ja,HONNELLES,HENEGOUWEN
5537,Anhée,Neen,ANHÉE,NAMEN
6721,Anlier,Ja,HABAY,LUXEMBURG
6890,Anloy,Ja,LIBIN,LUXEMBURG
5537,Annevoie-Rouillon,Ja,ANHÉE,NAMEN
4430,Ans,Neen,ANS,LUIK
5500,Anseremme,Ja,DINANT,NAMEN
7750,Anseroeul,Ja,MONT-DE-L'ENCLUS,HENEGOUWEN
5520,Anthée,Ja,ONHAYE,NAMEN
4520,Antheit,Ja,WANZE,LUIK
4160,Anthisnes,Neen,ANTHISNES,LUIK
7640,Antoing,Neen,ANTOING,HENEGOUWEN
2000,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2018,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2020,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2030,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2040,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2050,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2060,Antwerpen,Neen,ANTWERPEN,ANTWERPEN
2099,Antwerpen X,,Antwerpen X,
7910,Anvaing,Ja,FRASNES-LEZ-ANVAING,HENEGOUWEN
8570,Anzegem,Neen,ANZEGEM,WEST-VLAANDEREN
9200,Appels,Ja,DENDERMONDE,OOST-VLAANDEREN
9400,Appelterre-Eichem,Ja,NINOVE,OOST-VLAANDEREN
5170,Arbre,Ja,PROFONDEVILLE,NAMEN
7811,Arbre,Ja,ATH,HENEGOUWEN
4990,Arbrefontaine,Ja,LIERNEUX,LUIK
7910,Arc-Ainières,Ja,FRASNES-LEZ-ANVAING,HENEGOUWEN
7910,Arc-Wattripont,Ja,FRASNES-LEZ-ANVAING,HENEGOUWEN
1390,Archennes,Ja,GREZ-DOICEAU,WAALS-BRABANT
8850,Ardooie,Neen,ARDOOIE,WEST-VLAANDEREN
2370,Arendonk,Neen,ARENDONK,ANTWERPEN
4601,Argenteau,Ja,VISÉ,LUIK
6700,Arlon,Neen,ARLON,LUXEMBURG
7181,Arquennes,Ja,SENEFFE,HENEGOUWEN
5060,Arsimont,Ja,SAMBREVILLE,NAMEN
6870,Arville,Ja,SAINT-HUBERT,LUXEMBURG
3665,As,Neen,AS,LIMBURG
9404,Aspelare,Ja,NINOVE,OOST-VLAANDEREN
9890,Asper,Ja,GAVERE,OOST-VLAANDEREN
7040,Asquillies,Ja,QUÉVY,HENEGOUWEN
1730,Asse,Neen,ASSE,VLAAMS-BRABANT
8310,Assebroek,Ja,BRUGGE,WEST-VLAANDEREN
1007,Assemblée de la Commission Communautaire Française,,Assemblée de la Commission Communautaire Française,
9960,Assenede,Neen,ASSENEDE,OOST-VLAANDEREN
6860,Assenois,Ja,LÉGLISE,LUXEMBURG
3460,Assent,Ja,BEKKEVOORT,VLAAMS-BRABANT
5330,Assesse,Neen,ASSESSE,NAMEN
9800,Astene,Ja,DEINZE,OOST-VLAANDEREN
7800,Ath,Neen,ATH,HENEGOUWEN
7387,Athis,Ja,HONNELLES,HENEGOUWEN
6791,Athus,Ja,AUBANGE,LUXEMBURG
3404,Attenhoven,Ja,LANDEN,VLAAMS-BRABANT
3384,Attenrode,Ja,GLABBEEK,VLAAMS-BRABANT
6717,Attert,Neen,ATTERT,LUXEMBURG
7941,Attre,Ja,BRUGELETTE,HENEGOUWEN
6790,Aubange,Neen,AUBANGE,LUXEMBURG
7972,Aubechies,Ja,BELOEIL,HENEGOUWEN
4880,Aubel,Neen,AUBEL,LUIK
5660,Aublain,Ja,COUVIN,NAMEN
6880,Auby-Sur-Semois,Ja,BERTRIX,LUXEMBURG
